Date,DateKey,DayOfMonth,DayName,DayNameShort,DayOfWeek,WeekOfYear,Month,MonthName,MonthNameShort,Quarter,Year,YearHalf,IsWeekend,IsWeekday
12/16/2020,20201216,16,Wednesday,Wed,3,51,12,December,Dec,4,2020,2,False,True
12/17/2020,20201217,17,Thursday,Thu,4,51,12,December,Dec,4,2020,2,False,True
12/18/2020,20201218,18,Friday,Fri,5,51,12,December,Dec,4,2020,2,False,True
12/19/2020,20201219,19,Saturday,Sat,6,51,12,December,Dec,4,2020,2,True,False
12/20/2020,20201220,20,Sunday,Sun,7,51,12,December,Dec,4,2020,2,True,False
12/21/2020,20201221,21,Monday,Mon,1,52,12,December,Dec,4,2020,2,False,True
12/22/2020,20201222,22,Tuesday,Tue,2,52,12,December,Dec,4,2020,2,False,True
12/23/2020,20201223,23,Wednesday,Wed,3,52,12,December,Dec,4,2020,2,False,True
12/24/2020,20201224,24,Thursday,Thu,4,52,12,December,Dec,4,2020,2,False,True
12/25/2020,20201225,25,Friday,Fri,5,52,12,December,Dec,4,2020,2,False,True
12/26/2020,20201226,26,Saturday,Sat,6,52,12,December,Dec,4,2020,2,True,False
12/27/2020,20201227,27,Sunday,Sun,7,52,12,December,Dec,4,2020,2,True,False
12/28/2020,20201228,28,Monday,Mon,1,53,12,December,Dec,4,2020,2,False,True
12/29/2020,20201229,29,Tuesday,Tue,2,53,12,December,Dec,4,2020,2,False,True
12/30/2020,20201230,30,Wednesday,Wed,3,53,12,December,Dec,4,2020,2,False,True
12/31/2020,20201231,31,Thursday,Thu,4,53,12,December,Dec,4,2020,2,False,True
